Date	Price	Open	High	Low	Vol.	Change %
Oct 30, 2015	156.44	155.97	156.66	155.69	293.61K	0.39%
Oct 29, 2015	155.84	157.84	158.25	155.66	352.77K	-1.44%
Oct 28, 2015	158.12	158.31	158.47	157.25	250.75K	-0.26%
Oct 27, 2015	158.53	157.94	159.06	157.88	196.52K	0.32%
Oct 26, 2015	158.03	157.09	158.22	157.03	177.02K	0.55%
Oct 23, 2015	157.16	158.34	158.56	156.56	276.39K	-0.81%
Oct 22, 2015	158.44	158.53	159.06	157.78	263.63K	0.02%
Oct 21, 2015	158.41	157.38	158.72	157.25	201.43K	0.72%
Oct 20, 2015	157.28	158.44	158.66	157.09	208.92K	-0.69%
Oct 19, 2015	158.38	158.53	158.97	157.56	186.65K	-0.35%
Oct 16, 2015	158.94	158.84	159.34	158.47	165.02K	0.14%
Oct 15, 2015	158.72	159.66	159.69	158.62	202.48K	-0.55%
Oct 14, 2015	159.59	158.06	159.75	158.03	249.01K	1.11%
Oct 13, 2015	157.84	157.78	158.44	157.44	176.45K	0.02%
Oct 12, 2015	157.81	157.03	157.97	156.72	42.26K	0.57%
Oct 09, 2015	156.91	156.62	157.16	155.81	226.76K	0.32%
Oct 08, 2015	156.41	157.22	158.31	156.16	290.36K	-0.79%
Oct 07, 2015	157.66	157.91	158.00	156.69	207.20K	-0.10%
Oct 06, 2015	157.81	157.28	157.97	156.72	208.88K	0.36%
Oct 05, 2015	157.25	158.78	159.16	157.09	180.45K	-0.98%
Oct 02, 2015	158.81	157.91	160.62	157.47	337.98K	0.63%
Oct 01, 2015	157.81	157.81	158.59	157.03	228.18K	0.30%
Sep 30, 2015	157.34	157.84	157.88	156.75	273.63K	-0.36%
Sep 29, 2015	157.91	157.31	158.16	156.75	282.50K	0.24%
Sep 28, 2015	157.53	155.62	157.66	155.47	225.63K	1.34%
Sep 25, 2015	155.44	156.31	156.66	155.12	268.15K	-0.80%
Sep 24, 2015	156.69	155.50	157.50	155.41	289.84K	0.69%
Sep 23, 2015	155.62	155.41	156.25	154.69	199.07K	-0.08%
Sep 22, 2015	155.75	153.75	156.03	153.72	222.62K	0.28%
Sep 21, 2015	155.31	157.03	157.03	155.69	2.66K	-1.23%
Sep 18, 2015	157.25	155.12	157.28	155.09	3.23K	1.74%
Sep 17, 2015	154.56	153.59	154.97	153.50	0.59K	0.85%
Sep 16, 2015	153.25	153.72	154.31	153.34	2.31K	-0.41%
Sep 15, 2015	153.88	156.25	156.59	153.66	2.29K	-1.64%
Sep 14, 2015	156.44	156.12	156.94	155.97	2.40K	0.10%
Sep 11, 2015	156.28	155.25	156.66	155.16	1.35K	0.64%
Sep 10, 2015	155.28	155.81	156.06	155.09	3.67K	-0.56%
Sep 09, 2015	156.16	155.88	156.31	153.91	5.54K	0.46%
Sep 08, 2015	155.44	157.22	157.34	155.22	4.77K	0.01%
Sep 07, 2015	155.42	155.55	155.89	155.17	-	-0.10%
Sep 06, 2015	155.57	155.82	155.83	155.51	-	-1.11%
Sep 04, 2015	157.31	156.06	157.53	156.06	12.67K	0.86%
Sep 03, 2015	155.97	155.62	156.41	155.22	8.50K	0.30%
Sep 02, 2015	155.50	156.53	156.84	155.38	12.60K	-0.40%
Sep 01, 2015	156.12	155.56	157.09	155.28	32.11K	0.00%
Aug 31, 2015	156.12	156.25	157.75	155.44	65.67K	0.59%
Aug 30, 2015	155.20	154.80	155.24	154.49	-	-0.97%
Aug 28, 2015	156.72	156.34	157.84	156.12	239.29K	-0.10%
Aug 27, 2015	156.88	156.09	157.09	155.50	462.43K	0.54%
Aug 26, 2015	156.03	158.88	159.28	155.41	546.28K	-1.07%
Aug 25, 2015	157.72	160.38	160.66	157.62	507.47K	-1.98%
Aug 24, 2015	160.91	160.88	163.03	159.81	509.77K	0.12%
Aug 23, 2015	160.72	160.86	160.93	160.57	-	0.33%
Aug 21, 2015	160.19	160.28	160.84	159.62	317.88K	0.06%
Aug 20, 2015	160.09	158.84	160.31	158.78	257.16K	0.81%
Aug 19, 2015	158.81	157.78	159.19	156.94	300.68K	0.69%
Aug 18, 2015	157.72	158.69	159.31	157.53	206.67K	-0.86%
Aug 17, 2015	159.09	158.19	159.34	158.09	173.18K	0.61%
Aug 14, 2015	158.12	157.91	158.66	157.38	187.15K	0.13%
Aug 13, 2015	157.91	158.19	158.78	157.47	345.72K	-0.45%
Aug 12, 2015	158.62	158.72	160.69	158.12	335.59K	-0.12%
Aug 11, 2015	158.81	156.88	159.34	156.81	302.60K	1.29%
Aug 10, 2015	156.78	158.62	158.69	156.62	201.26K	-1.10%
Aug 07, 2015	158.53	157.00	158.72	156.38	289.98K	1.15%
Aug 06, 2015	156.72	155.69	157.09	155.44	189.41K	0.68%
