Date	Price	Open	High	Low	Vol.	Change %
Sep 30, 2015	45.09	44.92	45.85	44.68	355.85K	-0.31%
Sep 29, 2015	45.23	44.50	45.70	44.30	265.18K	1.80%
Sep 28, 2015	44.43	45.38	45.50	44.30	273.91K	-2.78%
Sep 25, 2015	45.70	45.05	46.38	44.86	338.62K	1.76%
Sep 24, 2015	44.91	44.62	45.18	43.71	371.98K	0.97%
Sep 23, 2015	44.48	46.54	47.15	44.41	411.96K	-2.95%
Sep 22, 2015	45.83	46.45	46.48	45.14	29.99K	-1.82%
Sep 21, 2015	46.68	44.97	46.74	44.69	104.53K	4.48%
Sep 18, 2015	44.68	46.89	47.03	44.24	211.30K	-4.73%
Sep 17, 2015	46.90	47.13	47.71	46.33	366.39K	-0.53%
Sep 16, 2015	47.15	45.16	47.35	44.82	421.98K	5.74%
Sep 15, 2015	44.59	44.11	45.25	43.92	335.95K	1.34%
Sep 14, 2015	44.00	44.78	44.97	43.59	326.27K	-1.41%
Sep 11, 2015	44.63	45.71	45.88	44.16	395.84K	-2.81%
Sep 10, 2015	45.92	44.16	46.04	43.36	498.99K	4.01%
Sep 09, 2015	44.15	45.79	46.26	44.05	422.74K	-3.90%
Sep 08, 2015	45.94	45.82	46.41	44.14	508.82K	2.77%
Sep 07, 2015	44.70	45.72	45.92	44.15	-	-2.23%
Sep 06, 2015	45.72	45.72	45.87	45.61	-	-0.72%
Sep 04, 2015	46.05	46.68	47.23	45.61	385.63K	-1.50%
Sep 03, 2015	46.75	46.11	48.42	45.65	539.45K	1.08%
Sep 02, 2015	46.25	44.26	46.77	43.21	689.30K	1.85%
Sep 01, 2015	45.41	48.10	48.87	44.15	713.42K	-7.70%
Aug 31, 2015	49.20	45.00	49.33	43.60	757.50K	9.71%
Aug 30, 2015	44.85	45.13	45.27	44.58	-	-0.83%
Aug 28, 2015	45.22	42.68	45.90	41.78	666.33K	6.25%
Aug 27, 2015	42.56	38.96	42.86	38.95	533.68K	10.26%
Aug 26, 2015	38.60	39.69	39.86	38.52	368.72K	-1.81%
Aug 25, 2015	39.31	38.18	39.89	38.16	375.65K	2.80%
Aug 24, 2015	38.24	40.30	40.47	37.75	468.37K	-4.51%
Aug 23, 2015	40.04	40.28	40.47	39.95	-	-1.00%
Aug 21, 2015	40.45	41.03	41.40	39.86	377.18K	-1.68%
Aug 20, 2015	41.14	40.58	41.48	40.21	24.78K	0.83%
Aug 19, 2015	40.80	42.41	42.68	40.40	107.58K	-4.27%
Aug 18, 2015	42.62	41.88	42.90	41.43	200.19K	1.79%
Aug 17, 2015	41.87	42.18	42.69	41.64	314.28K	-1.48%
Aug 14, 2015	42.50	42.23	42.96	41.35	317.21K	0.64%
Aug 13, 2015	42.23	43.34	43.72	41.91	420.15K	-2.47%
Aug 12, 2015	43.30	43.27	43.87	42.80	492.27K	0.51%
Aug 11, 2015	43.08	44.81	45.34	42.69	538.01K	-4.18%
Aug 10, 2015	44.96	43.58	45.01	43.35	491.43K	2.48%
Aug 07, 2015	43.87	44.82	45.16	43.70	400.07K	-1.77%
Aug 06, 2015	44.66	45.16	45.27	44.20	360.98K	-1.09%
Aug 05, 2015	45.15	45.96	46.70	44.83	367.33K	-1.29%
Aug 04, 2015	45.74	45.35	46.23	45.29	285.79K	1.26%
Aug 03, 2015	45.17	46.86	46.94	45.08	371.09K	-4.14%
Jul 31, 2015	47.12	48.47	48.62	46.70	334.47K	-2.89%
Jul 30, 2015	48.52	48.83	49.36	48.34	247.66K	-0.55%
Jul 29, 2015	48.79	47.81	49.52	47.39	366.89K	1.69%
Jul 28, 2015	47.98	47.02	48.44	46.68	338.11K	1.24%
Jul 27, 2015	47.39	48.00	48.20	46.91	273.61K	-1.56%
Jul 24, 2015	48.14	48.79	49.03	47.72	278.23K	-0.64%
Jul 23, 2015	48.45	49.23	49.63	48.21	316.06K	-1.50%
Jul 22, 2015	49.19	50.71	50.71	49.04	347.99K	-2.32%
Jul 21, 2015	50.36	49.95	51.02	49.77	23.13K	0.42%
Jul 20, 2015	50.15	50.76	51.26	49.85	102.60K	-1.45%
Jul 17, 2015	50.89	50.91	51.23	50.14	203.49K	-0.04%
Jul 16, 2015	50.91	51.62	52.17	50.84	319.17K	-0.97%
Jul 15, 2015	51.41	53.40	53.50	51.21	334.56K	-3.07%
Jul 14, 2015	53.04	52.00	53.43	50.88	422.76K	1.61%
Jul 13, 2015	52.20	52.15	53.17	51.26	359.48K	-1.02%
Jul 10, 2015	52.74	52.48	53.89	51.96	349.08K	-0.08%
Jul 09, 2015	52.78	51.83	53.54	51.48	382.33K	2.19%
Jul 08, 2015	51.65	52.91	52.96	50.91	434.75K	-1.30%
Jul 07, 2015	52.33	52.75	53.43	50.58	527.27K	-0.38%
Jul 06, 2015	52.53	56.42	56.79	52.41	540.61K	-5.39%
Jul 03, 2015	55.52	56.60	56.78	55.42	-	-2.48%
Jul 02, 2015	56.93	56.87	57.95	56.50	297.05K	-0.05%
Jul 01, 2015	56.96	58.98	58.98	56.68	373.41K	-4.22%
Jun 30, 2015	59.47	58.27	59.69	57.94	282.48K	1.95%
Jun 29, 2015	58.33	58.84	59.27	58.04	286.04K	-2.18%
Jun 26, 2015	59.63	59.66	59.96	58.76	231.96K	-0.12%
Jun 25, 2015	59.70	60.22	60.46	59.43	222.34K	-0.95%
Jun 24, 2015	60.27	61.14	61.57	59.80	312.99K	-1.21%
Jun 23, 2015	61.01	60.21	61.49	59.55	336.22K	2.23%
Jun 22, 2015	59.68	59.44	60.30	58.93	26.74K	0.12%
Jun 19, 2015	59.61	60.50	60.56	58.88	116.66K	-1.39%
Jun 18, 2015	60.45	59.78	60.89	59.25	181.88K	0.88%
Jun 17, 2015	59.92	60.03	61.38	58.85	396.16K	-0.08%
Jun 16, 2015	59.97	59.60	60.37	59.42	233.94K	0.76%
Jun 15, 2015	59.52	59.90	59.98	58.73	275.19K	-0.73%
Jun 12, 2015	59.96	60.55	60.63	59.73	246.90K	-1.33%
Jun 11, 2015	60.77	61.14	61.53	60.21	352.42K	-1.07%
Jun 10, 2015	61.43	60.58	61.82	60.45	459.77K	2.14%
Jun 09, 2015	60.14	58.31	60.68	58.23	405.49K	3.44%
Jun 08, 2015	58.14	58.96	59.13	57.86	339.85K	-1.67%
Jun 05, 2015	59.13	57.99	59.23	56.83	461.02K	1.95%
Jun 04, 2015	58.00	59.57	59.94	57.83	363.35K	-2.75%
Jun 03, 2015	59.64	61.02	61.43	59.34	371.30K	-2.64%
Jun 02, 2015	61.26	60.18	61.58	60.09	344.51K	1.76%
Jun 01, 2015	60.20	60.29	60.64	59.33	292.19K	-0.17%
May 29, 2015	60.30	57.97	60.70	57.72	452.22K	4.54%
May 28, 2015	57.68	57.63	58.07	56.51	340.68K	0.30%
May 27, 2015	57.51	58.32	58.95	57.36	314.92K	-0.90%
May 26, 2015	58.03	60.05	60.25	57.71	330.13K	-3.03%
May 25, 2015	59.85	59.93	60.24	59.11	-	-0.12%
May 24, 2015	59.92	60.01	60.01	59.78	-	0.33%
May 22, 2015	59.72	60.66	60.80	59.35	230.31K	-1.65%
May 21, 2015	60.72	58.81	60.94	58.69	329.77K	2.95%
May 20, 2015	58.98	58.32	59.04	58.10	287.13K	3.00%
May 19, 2015	57.26	59.54	59.63	57.09	30.30K	-3.65%
May 18, 2015	59.43	59.85	60.88	59.06	144.39K	-0.44%
May 15, 2015	59.69	59.67	59.97	58.42	222.09K	-0.32%
May 14, 2015	59.88	60.10	60.84	59.36	361.43K	-1.02%
May 13, 2015	60.50	61.23	61.85	60.02	426.84K	-0.41%
May 12, 2015	60.75	59.27	61.36	59.12	397.35K	2.53%
May 11, 2015	59.25	59.43	59.85	58.75	332.69K	-0.09%
May 10, 2015	59.31	59.44	59.44	59.19	-	-0.14%
May 08, 2015	59.39	59.02	59.90	58.14	434.58K	0.76%
May 07, 2015	58.94	60.69	61.31	58.49	437.02K	-3.27%
May 06, 2015	60.93	60.72	62.58	60.54	423.58K	0.88%
May 05, 2015	60.40	58.95	61.10	58.63	389.74K	2.49%
May 04, 2015	58.93	59.30	59.73	58.45	215.05K	-0.37%
May 01, 2015	59.15	59.79	59.90	58.32	244.75K	-0.80%
Apr 30, 2015	59.63	58.55	59.85	58.38	340.32K	1.79%
